id,y_2010,y_2012
1,11.85337649,11.85337649
2,0.271577477,0.271577477
3,0.948197354,0.948197354
4,0.357177806,0.357177806
5,0.25116393,0.25116393
6,0.42816117,0.42816117
7,0.639577676,0.639577676
8,0.23773656,0.23773656
9,0.393334334,0.393334334
10,0.385978455,0.385978455
11,0.519082327,0.519082327
12,0.317682977,0.317682977
13,2.722181064,2.722181064
14,2.829294707,2.829294707
15,3.321385528,3.321385528
16,0.343314152,0.343314152
17,0.295778435,0.295778435
18,0.293155168,0.293155168
19,0.950801548,0.950801548
20,0.472016183,0.472016183
21,0.129319833,0.129319833
22,0.177339142,0.177339142
23,0.300854313,0.300854313
24,0.236190109,0.236190109
25,0.626213507,0.626213507
26,0.253352283,0.253352283
27,0.308774673,0.308774673
28,0.477839779,0.477839779
29,0.253052445,0.253052445
30,0.499955361,0.499955361
31,2.070384117,2.070384117
32,0.227898585,0.227898585
33,0.525334689,0.525334689
34,0.362208905,0.362208905
35,0.252466472,0.252466472
36,0.267591301,0.267591301
37,0.145856444,0.145856444
38,0.463098849,0.463098849
39,3.119117481,3.119117481
40,0.453118907,0.453118907
41,1.06753472,1.06753472
42,0.193295692,0.193295692
43,0.381429817,0.381429817
44,0.337709391,0.337709391
45,7.048608271,7.048608271
46,0.396899806,0.396899806
47,0.402281291,0.402281291
48,0.058679707,0.058679707
49,0.093230435,0.093230435
50,0.095599889,0.095599889
51,0.159348442,0.159348442
52,0.294082582,0.294082582
53,1.351982312,1.351982312
54,0.070322187,0.070322187
55,2.725555248,2.725555248
56,0.165005753,0.165005753
57,0.056866049,0.056866049
58,0.054198706,0.054198706
59,0.240005731,0.240005731
60,0.036098911,0.036098911
61,0.021913486,0.021913486
62,0,0
63,0.60448247,0.60448247
64,0.025116162,0.025116162
65,0.323315966,0.323315966
66,29.20767648,29.20767648
67,0.013117335,0.013117335
68,0.012147716,0.012147716
69,0.047048405,0.047048405
70,0.010227738,0.010227738
71,0.024356383,0.024356383
72,0.338693181,0.338693181
73,0.002858776,0.002858776
74,0,0
75,0.052023723,0.052023723
76,0.050039093,0.050039093
77,0.225443587,0.225443587
78,0.003799536,0.003799536
79,0.106339883,0.106339883
80,0.333165643,0.333165643
81,0.383858952,0.383858952
82,0.58579534,0.58579534
83,0.038830643,0.038830643
84,0.047783636,0.047783636
85,0.231122089,0.231122089
86,0.306929103,0.306929103
87,4.573849788,4.573849788
88,0.110784034,0.110784034
89,0.240319523,0.240319523
90,0.283190938,0.283190938
91,0.329995262,0.329995262
92,0.551783333,0.551783333
93,0.347844056,0.347844056
94,1.889318002,1.889318002
95,9.849958009,9.849958009
96,5.54867035,5.54867035
97,0.466155362,0.466155362
98,0.346466486,0.346466486
99,11.84867636,11.84867636
100,0.189833368,0.189833368
101,2.02870875,2.02870875
102,0.255350493,0.255350493
103,0.311159213,0.311159213
104,0.300357699,0.300357699
105,0.395628962,0.395628962
106,1.894606468,1.894606468
107,11.71129201,11.71129201
108,0.52839572,0.52839572
109,0.313204985,0.313204985
110,0.297223803,0.297223803
111,0.193459235,0.193459235
112,0.211216544,0.211216544
113,7.585677258,7.585677258
114,0.38449775,0.38449775
115,0.021493491,0.021493491
116,0.824348555,0.824348555
117,0.130318629,0.130318629
118,0.081044071,0.081044071
119,0.278551532,0.278551532
120,6.382931412,6.382931412
121,0.317928203,0.317928203
122,0.414101437,0.414101437
123,0.173396086,0.173396086
124,0.248062016,0.248062016
125,0.183835182,0.183835182
126,0.630804275,0.630804275
127,0.297071265,0.297071265
128,0.244920679,0.244920679
129,0.134356615,0.134356615
130,2.698156844,2.698156844
131,0.649457609,0.649457609
132,0.214929321,0.214929321
133,1.540543702,1.540543702
134,0.115579528,0.115579528
135,0.161443337,0.161443337
136,3.001387726,3.001387726
137,2.229691643,2.229691643
138,0.281518811,0.281518811
139,0.076655995,0.076655995
140,1.402118093,1.402118093
141,0.132288593,0.132288593
142,0.16007507,0.16007507
143,0.242203152,0.242203152
144,0.220949633,0.220949633
145,0.312710658,0.312710658
146,1.428687393,1.428687393
147,0.135604253,0.135604253
148,0.40852534,0.40852534
149,3.465304203,3.465304203
150,0.340719347,0.340719347
151,0.996370101,0.996370101
152,7.897069335,7.897069335
153,0.278629555,0.278629555
154,0.277665709,0.277665709
155,0.384714538,0.384714538
156,0.60258388,0.60258388
157,0.894562673,0.894562673
158,1.363665127,1.363665127
159,0.688371881,0.688371881
160,0.179657833,0.179657833
161,0.192613428,0.192613428
162,0.134216749,0.134216749
163,2.715781447,2.715781447
164,4.217367111,4.217367111
165,0.347460193,0.347460193
166,0.314865592,0.314865592
167,0.321000926,0.321000926
168,0.316906988,0.316906988
169,0.163419774,0.163419774
170,0.180282573,0.180282573
171,0.414990743,0.414990743
172,0.160954736,0.160954736
173,0.689136481,0.689136481
174,0.285720075,0.285720075
175,0.354304095,0.354304095
176,4.98438858,4.98438858
177,2.373486581,2.373486581
178,0.322134199,0.322134199
179,0.350457304,0.350457304
180,0.42861853,0.42861853
181,0.410347318,0.410347318
182,0.387976643,0.387976643
183,0.275952217,0.275952217
184,1.038199923,1.038199923
185,0.344629523,0.344629523
186,0.363855296,0.363855296
187,0.406729525,0.406729525
188,0.380732823,0.380732823
189,0.242145051,0.242145051
190,0.409259163,0.409259163
191,0.265964248,0.265964248
192,0.408027708,0.408027708
193,0.392384106,0.392384106
194,0.341128348,0.341128348
195,0.698146571,0.698146571
196,0.30101815,0.30101815
197,0.400046721,0.400046721
198,0.314272694,0.314272694
199,0.269667329,0.269667329
200,9.891889069,9.891889069
201,3.446082913,3.446082913
202,0.135022009,0.135022009
203,0.311800221,0.311800221
204,21.24391439,21.24391439
205,25.21537759,25.21537759
