postal,name,ec1,ec2,ec3,ec4,ec5,id
17830,Herndon,0.144700000000000,10.400000000000000,9.190000000000000,3.243000000000000,56.350000000000001,18569
12165,Spencertown,0.096200000000000,9.310000000000000,8.850000000000000,3.292200000000000,55.997199999999999,6589
18619,Hillsgrove,0.103700000000000,10.400000000000000,9.190000000000000,3.243000000000000,45.079999999999998,8680
18430,Herrick Center,0.144700000000000,10.400000000000000,9.190000000000000,3.243000000000000,56.350000000000001,8630
17033,Hershey,0.121300000000000,10.400000000000000,9.190000000000000,3.243000000000000,45.079999999999998,18541
18616,Forksville,0.103700000000000,10.400000000000000,9.190000000000000,3.243000000000000,45.079999999999998,8677
14480,Lakeville,0.131300000000000,9.310000000000000,8.850000000000000,3.292200000000000,55.997199999999999,7371
10931,Hillburn,0.136400000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,6222
12923,Churubusco,0.096200000000000,9.310000000000000,8.850000000000000,3.292200000000000,55.997199999999999,6851
13136,Pitcher,0.096200000000000,9.310000000000000,8.850000000000000,3.292200000000000,44.797759999999997,6958
13450,Roseboom,0.096200000000000,9.310000000000000,8.850000000000000,3.292200000000000,44.797759999999997,7062
15483,Stockdale,0.087700000000000,10.400000000000000,9.190000000000000,3.243000000000000,56.350000000000001,7760
16621,Broad Top,0.103700000000000,10.400000000000000,9.190000000000000,3.243000000000000,45.079999999999998,8103
18825,Jackson,0.103700000000000,10.400000000000000,9.190000000000000,3.243000000000000,56.350000000000001,8715
17823,Dornsife,0.144700000000000,10.400000000000000,9.190000000000000,3.243000000000000,56.350000000000001,8463
18933,Lumberville,0.128400000000000,10.400000000000000,9.190000000000000,3.243000000000000,38.317999999999998,8742
19549,Port Clinton,0.144700000000000,10.400000000000000,9.190000000000000,3.243000000000000,45.079999999999998,8938
19938,Clayton,0.155900000000000,12.970000000000001,11.300000000000001,3.302200000000000,46.303040000000003,8980
16046,Mars,0.091500000000000,10.400000000000000,9.190000000000000,3.243000000000000,45.079999999999998,18529
19901,Dover,0.145400000000000,12.970000000000001,11.300000000000001,3.302200000000000,46.303040000000003,18634
18657,Tunkhannock,0.103700000000000,10.400000000000000,9.190000000000000,3.243000000000000,45.079999999999998,18597
12164,Speculator,0.131300000000000,9.310000000000000,8.850000000000000,3.292200000000000,55.997199999999999,6588
14102,Marilla,0.096200000000000,9.310000000000000,8.850000000000000,3.292200000000000,44.797759999999997,7282
14410,Adams Basin,0.113900000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,7337
14878,Rock Stream,0.096200000000000,9.310000000000000,8.850000000000000,3.292200000000000,55.997199999999999,7543
15739,Ernest,0.103700000000000,10.400000000000000,9.190000000000000,3.243000000000000,45.079999999999998,7854
15827,Byrnedale,0.087700000000000,10.400000000000000,9.190000000000000,3.243000000000000,38.317999999999998,7885
17830,Herndon,0.144700000000000,10.400000000000000,9.190000000000000,3.243000000000000,56.350000000000001,18571
19043,Holmes,0.128400000000000,10.400000000000000,9.190000000000000,3.243000000000000,38.317999999999998,8786
19720,New Castle,0.121600000000000,12.970000000000001,11.300000000000001,3.302200000000000,39.357584000000003,18632
14805,Alpine,0.096200000000000,9.310000000000000,8.850000000000000,3.292200000000000,55.997199999999999,7494
11706,Bay Shore,0.181200000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,18388
10014,New York,0.207000000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,6071
10461,Bronx,0.207000000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,6122
10460,Bronx,0.207000000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,6121
10502,Ardsley,0.207000000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,6136
10475,Bronx,0.207000000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,6134
10535,Jefferson Valley,0.096200000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,6156
10952,Monsey,0.136400000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,6226
10964,Palisades,0.136400000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,6232
10998,Westtown,0.136400000000000,9.310000000000000,8.850000000000000,3.292200000000000,44.797759999999997,6254
11003,Elmont,0.181200000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,6256
11371,Flushing,0.207000000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,6331
11786,Shoreham,0.181200000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,6457
14172,Wilson,0.131300000000000,9.310000000000000,8.850000000000000,3.292200000000000,44.797759999999997,7305
12194,West Fulton,0.131300000000000,9.310000000000000,8.850000000000000,3.292200000000000,55.997199999999999,6606
12210,Albany,0.131300000000000,9.310000000000000,8.850000000000000,3.292200000000000,44.797759999999997,6618
12515,Clintondale,0.121300000000000,9.310000000000000,8.850000000000000,3.292200000000000,44.797759999999997,6698
13076,Hastings,0.131300000000000,9.310000000000000,8.850000000000000,3.292200000000000,44.797759999999997,6930
15060,Midway,0.087700000000000,10.400000000000000,9.190000000000000,3.243000000000000,56.350000000000001,7593
12916,Brushton,0.131300000000000,9.310000000000000,8.850000000000000,3.292200000000000,55.997199999999999,6844
13071,Genoa,0.096200000000000,9.310000000000000,8.850000000000000,3.292200000000000,44.797759999999997,6926
13202,Syracuse,0.131300000000000,9.310000000000000,8.850000000000000,3.292200000000000,38.078096000000002,6977
